Time,traffic information,RP
20141108_20,77.80,88.50
20141108_21,77.90,88.20
20141108_22,78.10,88.80
20141108_23,78.10,89.40
20141109_00,78.60,89.60
20141109_01,79.70,89.50
20141109_02,79.90,89.60
20141109_03,80.00,89.20
20141109_04,79.60,89.30
20141109_05,77.80,87.10
20141109_06,76.90,89.50
20141109_07,76.10,89.90
20141109_08,76.60,89.20
20141109_09,76.10,88.80
20141109_10,76.00,88.40
20141109_11,76.80,88.60
20141109_12,76.20,87.50
20141109_13,76.30,87.30
20141109_14,76.60,87.50
20141109_15,75.80,86.00
20141109_16,75.90,86.70
20141109_17,76.40,86.70
20141109_18,76.70,88.00
20141109_19,77.50,89.30
20141109_20,77.10,89.80
20141109_21,77.20,90.40
20141109_22,77.50,90.40
20141109_23,77.30,91.20
20141110_00,77.20,90.40
20141110_01,78.50,90.10
20141110_02,78.30,88.70
20141110_03,78.50,88.30
20141110_04,77.50,90.70
20141110_05,76.90,86.80
20141110_06,76.10,80.30
20141110_07,74.00,83.90
20141110_08,74.90,86.90
20141110_09,76.20,87.60
20141110_10,76.30,88.40
20141110_11,76.90,88.80
20141110_12,76.90,88.50
20141110_13,76.30,87.90
20141110_14,76.30,87.30
20141110_15,76.30,87.10
20141110_16,76.50,86.40
20141110_17,75.50,85.80
20141110_18,75.30,85.00
20141110_19,76.30,87.80
20141110_20,77.30,88.90
20141110_21,77.80,89.60
20141110_22,77.30,89.10
20141110_23,77.70,90.30
20141111_00,78.50,90.50
20141111_01,79.10,89.80
20141111_02,79.40,88.80
20141111_03,79.30,89.60
20141111_04,78.60,88.80
20141111_05,77.20,89.30
20141111_07,74.40,87.00
20141111_08,75.00,87.50
20141111_09,75.90,86.70
20141111_10,75.80,86.70
20141111_11,76.20,87.20
20141111_12,76.70,88.40
20141111_13,76.20,86.70
20141111_14,76.10,86.70
20141111_15,75.90,86.60
20141111_16,76.20,86.60
20141111_17,75.00,84.40
20141111_18,74.70,84.20
20141111_19,76.00,87.50
20141111_20,77.10,88.80
20141111_21,77.50,88.50
20141111_22,77.80,89.90
20141111_23,78.70,90.10
20141112_00,79.30,90.90
20141112_01,80.10,90.70
20141112_02,80.50,90.90
20141112_03,80.00,88.60
20141112_04,79.10,90.20
20141112_05,77.60,89.30
20141112_06,77.00,87.00
20141112_07,75.40,85.90
20141112_08,75.50,88.00
20141112_09,75.70,87.20
20141112_10,76.10,87.50
20141112_11,76.40,88.20
20141112_12,76.80,89.20
20141112_13,75.90,87.10
20141112_14,76.10,87.10
20141112_15,75.90,86.40
20141112_16,76.20,87.00
20141112_17,75.50,84.60
20141112_18,74.60,85.00
20141112_19,75.90,87.60
20141112_20,77.40,88.50
20141112_21,77.80,88.90
20141112_22,77.60,89.20
20141112_23,78.00,90.20
20141113_00,78.60,90.80
20141113_01,79.80,89.90
20141113_02,80.00,90.00
20141113_03,79.60,90.30
20141113_04,78.40,89.80
20141113_05,77.30,89.30
20141113_06,76.50,84.00
20141113_07,74.50,82.70
20141113_08,75.50,87.30
20141113_09,75.50,86.70
20141113_10,75.90,87.00
20141113_11,76.30,87.70
20141113_12,76.80,88.70
20141113_13,76.30,88.00
20141113_14,76.20,87.00
20141113_15,76.00,86.80
20141113_16,75.40,85.00
20141113_17,75.00,84.40
20141113_18,75.00,85.20
20141113_19,76.30,87.60
20141113_20,77.00,88.80
20141113_21,77.60,89.00
20141113_22,77.80,89.30
20141113_23,77.90,90.30
20141114_00,78.40,90.40
20141114_01,80.00,89.80
20141114_02,79.90,89.30
20141114_03,79.80,90.30
20141114_04,78.80,89.70
20141114_05,77.20,89.20
20141114_06,76.80,87.70
20141114_07,75.10,86.90
20141114_08,75.20,86.70
20141114_09,75.50,86.20
20141114_10,76.10,86.70
20141114_11,76.30,87.40
